word,meaning_or_synonym,verified_at
tummy ache,abdominal pain,2025-11-27 21:00:39
feeling hot,fever,2025-11-27 21:00:39
puking,vomiting,2025-11-27 21:00:39
throwing up,vomiting,2025-11-27 21:00:39
runs,diarrhea,2025-11-27 21:00:39
hurt head,headache,2025-11-27 21:00:39
can't breathe,shortness of breath,2025-11-27 21:00:39
passing out,syncope,2025-11-27 21:00:39
shakes,tremor,2025-11-27 21:00:39
high temp,fever,2025-11-27 21:00:39
belly pain,abdominal pain,2025-11-27 21:00:39
dizzy,dizziness,2025-11-27 21:00:39
tired,fatigue,2025-11-27 21:00:39
exhausted,fatigue,2025-11-27 21:00:39
headache,A pain or ache in the head.,2025-11-30 11:38:00
headache,A pain or ache in the head.,2025-11-30 11:38:00
chills,"A moderate, but uncomfortable and penetrating coldness.",2025-11-30 11:38:00
muscle,A contractile form of tissue which animals use to effect movement.,2025-11-30 11:38:00
sudden,An unexpected occurrence; a surprise.,2025-11-30 11:38:00
high,"A high point or position, literally or figuratively; an elevated place; a superior region; a height; the sky; heaven.",2025-11-30 11:38:00
respiratory,Relating to respiration; breathing.,2025-12-29 23:38:38
bacteria,"A type, species, or strain of bacterium.",2025-12-29 23:38:38
bacteria,"A type, species, or strain of bacterium.",2025-12-29 23:38:38
bacteria,"A type, species, or strain of bacterium.",2025-12-29 23:38:38
bacteria,"A type, species, or strain of bacterium.",2025-12-29 23:38:38
malaria,"A disease spread by mosquito, in which a protozoan, Plasmodium, multiplies in blood every few days.",2025-12-29 23:38:38
